Id,Title,Category,Diagram,Interaction,Priority,State,Changed By,Description,Justification,Last Modified
129,Spoofing the Participante (sem conta) External Entity,Spoofing,Diagram 1,"HTTPS Consulta, inscrição e check-in",High,Not Started,,Participante (sem conta) may be spoofed by an attacker and this may lead to unauthorized access to Página pública. Consider using a standard authentication mechanism to identify the external entity.,,Generated
1,Cross Site Scripting,Tampering,Diagram 1,"HTTPS Consulta, inscrição e check-in",High,Not Started,,The web server 'Página pública' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,,Generated
2,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,"HTTPS Consulta, inscrição e check-in",High,Not Started,,Página pública may be able to impersonate the context of Participante (sem conta) in order to gain additional privilege.,,Generated
118,Data Flow Gravações e consultas Is Potentially Interrupted,Denial Of Service,Diagram 1,Gravações e consultas,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
7,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,HTTPS Requisições autenticadas,High,Not Started,,API REST may be able to impersonate the context of Página autenticada in order to gain additional privilege.,,Generated
6,Página autenticada Process Memory Tampered,Tampering,Diagram 1,HTTPS Requisições autenticadas,High,Not Started,,"If Página autenticada is given access to memory, such as shared memory or pointers, or is given the ability to control what API REST executes (for example, passing back a function pointer.), then Página autenticada can tamper with API REST. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
117,Potential Excessive Resource Consumption for API REST or MongoDB,Denial Of Service,Diagram 1,Gravações e consultas,High,Not Started,,"Does API REST or MongoDB take explicit steps to control resource consumption? Resource consumption attacks can be hard to deal with, and there are times that it makes sense to let the OS do the job. Be careful that your resource requests don't deadlock, and that they do timeout.",,Generated
10,Spoofing the Organizador External Entity,Spoofing,Diagram 1,HTTPS Loguin e operações de gestão,High,Not Started,,Organizador may be spoofed by an attacker and this may lead to unauthorized access to Página autenticada. Consider using a standard authentication mechanism to identify the external entity.,,Generated
11,Cross Site Scripting,Tampering,Diagram 1,HTTPS Loguin e operações de gestão,High,Not Started,,The web server 'Página autenticada' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,,Generated
12,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,HTTPS Loguin e operações de gestão,High,Not Started,,Página autenticada may be able to impersonate the context of Organizador in order to gain additional privilege.,,Generated
13,Spoofing the Avaliador External Entity,Spoofing,Diagram 1,HTTPS Loguin operações administrativas,High,Not Started,,Avaliador may be spoofed by an attacker and this may lead to unauthorized access to Página autenticada. Consider using a standard authentication mechanism to identify the external entity.,,Generated
14,Cross Site Scripting,Tampering,Diagram 1,HTTPS Loguin operações administrativas,High,Not Started,,The web server 'Página autenticada' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,,Generated
15,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,HTTPS Loguin operações administrativas,High,Not Started,,Página autenticada may be able to impersonate the context of Avaliador in order to gain additional privilege.,,Generated
16,Spoofing the Administrador External Entity,Spoofing,Diagram 1,HTTPS Loguin e operações administrativas,High,Not Started,,Administrador may be spoofed by an attacker and this may lead to unauthorized access to Página autenticada. Consider using a standard authentication mechanism to identify the external entity.,,Generated
17,Cross Site Scripting,Tampering,Diagram 1,HTTPS Loguin e operações administrativas,High,Not Started,,The web server 'Página autenticada' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,,Generated
18,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,HTTPS Loguin e operações administrativas,High,Not Started,,Página autenticada may be able to impersonate the context of Administrador in order to gain additional privilege.,,Generated
126,Data Store Inaccessible,Denial Of Service,Diagram 1,Dados consultados e confirmações,High,Not Started,,An external agent prevents access to a data store on the other side of the trust boundary.,,Generated
125,Data Flow Dados consultados e confirmações Is Potentially Interrupted,Denial Of Service,Diagram 1,Dados consultados e confirmações,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
21,API REST Process Memory Tampered,Tampering,Diagram 1,HTTPS Respostas autenticadas,High,Not Started,,"If API REST is given access to memory, such as shared memory or pointers, or is given the ability to control what Página autenticada executes (for example, passing back a function pointer.), then API REST can tamper with Página autenticada. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
22,Cross Site Scripting,Tampering,Diagram 1,HTTPS Respostas autenticadas,High,Not Started,,The web server 'Página autenticada' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,,Generated
23,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,HTTPS Respostas autenticadas,High,Not Started,,Página autenticada may be able to impersonate the context of API REST in order to gain additional privilege.,,Generated
24,Página pública Process Memory Tampered,Tampering,Diagram 1,HTTPS Requisições públicas,High,Not Started,,"If Página pública is given access to memory, such as shared memory or pointers, or is given the ability to control what API REST executes (for example, passing back a function pointer.), then Página pública can tamper with API REST. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
25,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,HTTPS Requisições públicas,High,Not Started,,API REST may be able to impersonate the context of Página pública in order to gain additional privilege.,,Generated
